Nome;Cidade;Email;Sexo
Henry Oliver Caldeira;Teresina;hhenryolivercaldeira@vnews.com.br;Masculino
Olivia Isadora Débora Galvão;João Pessoa;oliviaisadoradeboragalvao..oliviaisadoradeboragalvao@quarttus.com.br;Masculino
Guilherme Fernando Cauê Oliveira;Luziânia;guilhermefernandocaueoliveira@atualecomex.com.br;Feminino
Gabrielly Rita Louise Castro;São Carlos;gabriellyritalouisecastro__gabriellyritalouisecastro@realbit.com.br;Feminino
Thiago Giovanni Aparício;Rio Branco;thiagogiovanniaparicio..thiagogiovanniaparicio@vinax.com.br;Feminino
Henrique Raimundo da Mota;Arcoverde;henriqueraimundodamota_@premierpet.com.br;Feminino
Luís Bento Victor Galvão;Jaboatão dos Guararapes;luisbentovictorgalvao-92@eanac.com.br;Feminino
Carlos Thomas Ramos;São José do Rio Preto;carlosthomasramos-70@tce.am.gov.br;Feminino
Erick Juan João Barros;Porto Velho;erickjuanjoaobarros@contjulioroberto.com.br;Feminino
Isaac Yuri Galvão;Natal;isaacyurigalvao_@redealumni.com;Masculino
Thiago Cláudio Geraldo Oliveira;Ananindeua;thiagoclaudiogeraldooliveira__thiagoclaudiogeraldooliveira@vegacon.com.br;Masculino
Sophia Heloise Nicole Rezende;Boa Vista;ssophiaheloisenicolerezende@johndeere.com;Masculino
Pietra Benedita Ribeiro;Manaus;pietrabeneditaribeiro__pietrabeneditaribeiro@amplisat.com.br;Masculino
Paulo Breno Ricardo da Paz;Araguaína;ppaulobrenoricardodapaz@gustavoscoelho.com.br;Masculino
Adriana Alice Marlene Pereira;Cuiabá;adrianaalicemarlenepereira_@marquesalcantra.comabdv.com.br;Feminino
Andrea Lúcia Gonçalves;Caruaru;andrealuciagoncalves_@outloock.com;Feminino
Rosângela Esther Novaes;Rio de Janeiro;rosangelaesthernovaes..rosangelaesthernovaes@alkbrasil.com.br;Masculino
Benedita Eloá Almada;Camboriú;beneditaeloaalmada__beneditaeloaalmada@icloud.con;Feminino
Milena Stella da Rocha;Juazeiro do Norte;milenastelladarocha__milenastelladarocha@semco.com.br;Masculino
Evelyn Bruna Marlene Moreira;Santa Cruz do Capibaribe;evelynbrunamarlenemoreira_@hotmail.con;Masculino
Enrico Kevin Erick Ribeiro;Rio Branco;enricokevinerickribeiro..enricokevinerickribeiro@poli.ufrj.br;Masculino
Bruno Felipe Cauê Aragão;Aracaju;brunofelipecauearagao-95@trt15.jus.br;Feminino
